Time engk1       engi1       
  0.5933E-02  0.3206E+07  0.2561E+05
  0.5967E-02  0.3206E+07  0.2586E+05
  0.6001E-02  0.3206E+07  0.2610E+05
  0.6036E-02  0.3205E+07  0.2635E+05
  0.6070E-02  0.3205E+07  0.2660E+05
  0.6104E-02  0.3205E+07  0.2685E+05
  0.6138E-02  0.3205E+07  0.2709E+05
  0.6172E-02  0.3204E+07  0.2734E+05
  0.6206E-02  0.3204E+07  0.2759E+05
  0.6240E-02  0.3204E+07  0.2784E+05
  0.6274E-02  0.3203E+07  0.2809E+05
  0.6308E-02  0.3203E+07  0.2834E+05
  0.6342E-02  0.3203E+07  0.2860E+05
  0.6376E-02  0.3203E+07  0.2885E+05
  0.6411E-02  0.3202E+07  0.2911E+05
  0.6445E-02  0.3202E+07  0.2937E+05
  0.6479E-02  0.3202E+07  0.2963E+05
  0.6513E-02  0.3201E+07  0.2989E+05
  0.6547E-02  0.3201E+07  0.3015E+05
  0.6581E-02  0.3201E+07  0.3041E+05
  0.6615E-02  0.3201E+07  0.3067E+05
  0.6649E-02  0.3200E+07  0.3094E+05
  0.6683E-02  0.3200E+07  0.3123E+05
  0.6717E-02  0.3200E+07  0.3151E+05
  0.6752E-02  0.3199E+07  0.3181E+05
  0.6786E-02  0.3199E+07  0.3210E+05
  0.6820E-02  0.3199E+07  0.3239E+05
  0.6854E-02  0.3198E+07  0.3269E+05
  0.6888E-02  0.3198E+07  0.3298E+05
  0.6922E-02  0.3198E+07  0.3327E+05
  0.6956E-02  0.3198E+07  0.3357E+05
  0.6990E-02  0.3197E+07  0.3387E+05
  0.7024E-02  0.3197E+07  0.3417E+05
  0.7058E-02  0.3197E+07  0.3447E+05
  0.7093E-02  0.3196E+07  0.3478E+05
  0.7127E-02  0.3196E+07  0.3509E+05
  0.7161E-02  0.3196E+07  0.3540E+05
  0.7195E-02  0.3195E+07  0.3572E+05
  0.7229E-02  0.3195E+07  0.3604E+05
  0.7263E-02  0.3195E+07  0.3636E+05
  0.7297E-02  0.3194E+07  0.3668E+05
  0.7331E-02  0.3194E+07  0.3700E+05
  0.7365E-02  0.3194E+07  0.3732E+05
  0.7399E-02  0.3193E+07  0.3765E+05
  0.7434E-02  0.3193E+07  0.3796E+05
  0.7468E-02  0.3193E+07  0.3828E+05
